name,diameter,e,a,q,i,per_y
Jokaste,31.018,.2005123955345817,2.906400329804781,2.323631037293126,12.46738237767629,4.95497369758293
Nealley,58.065,.04462178472083381,3.238677233604774,3.094161675306597,11.78019970277356,5.82853897441702
Rockefellia,49.146,.08841659455346648,2.993747920005097,2.729050923966723,15.16094298048502,5.18001533922033
Repsolda,65.752,.08599983604548232,2.894137249010181,2.645241920102182,11.78408378162315,4.92364674897893
Rhoda,82.660,.1603840617230829,2.800625731240373,2.351450001097863,19.56061539840372,4.68695532820542
Buda,30.749,.1472537154048129,2.473778591020332,2.109505502403705,13.41025095097224,3.89089438356978
Ulla,116.44,.09010393353412824,3.54644524095892,3.226896574685132,18.78807079031754,6.67879464074008
Anneliese,48.590,.1534903767386946,2.927246220011612,2.47794209489511,9.209265159818193,5.00837781409098
Agamemnon,131.038,.06564559226977358,5.276044122091064,4.929695080854938,21.76284918139834,12.1191128749738
Maritima,82.675,.175221886929579,3.133033846874255,2.584057744410711,18.34475612321706,5.54569310449031
Palisana,76.190,.2149480258129482,2.457239947722377,1.92906107201074,25.20954597186421,3.85194034785459
America,33.23,.2372480047880663,2.364507857320015,1.803533085865136,11.09285034023298,3.63596207415034
Lyka,34.878,.2001992170642004,2.381884159571328,1.905032815687527,5.125731335176168,3.67611557220194
Itha,21.561,.1895327516500102,2.864547231277619,2.321621712302154,12.06650225267951,4.84833012354654
Ilsebill,33.500,.08365996587875556,2.773964641853435,2.541894854567103,8.160910672456879,4.62018731999606
Rogeria,26.656,.1061720332833707,2.62222029926075,2.343813838371307,11.58204273040258,4.2463126239896
Jovita,55.312,.1836962796009647,3.171289190904769,2.588735164996809,16.3356915413307,5.64757455943547
Herluga,34.553,.1967193306853539,2.614212501495595,2.099946367932096,14.47704252155381,4.22687624829796
Toni,85.49,.1561081263300977,2.938283884155287,2.479593892373883,8.991498804391856,5.03673187112373
Alphonsina,57.505,.07865728776837592,2.700501753041701,2.488087609533697,21.07677588620408,4.43787328451393
Imhilde,48.48,.1818674316727214,2.9815055165253,2.439266765716793,16.33387102069688,5.1482737080184
Ratisbona,75.892,.08623007290200636,3.224279005670071,2.946249191954732,14.582456497,5.78971419241981
Hildrun,62.817,.149105727483895,3.134777455404297,2.667364182416126,17.65289482104721,5.5503232155007
Westphalia,34.922,.1434460529104115,2.431143545912113,2.082405600192399,15.33437643698764,3.79074094101016
Whittemora,45.298,.2304545656278089,3.173941069939554,2.442491859338372,11.46667384167753,5.6546599184953
Hooveria,58.978,.09036346460467957,2.419497617092009,2.200863429808809,8.12195657017277,3.76353535628847
Susi,21.82,.1653677908609485,2.368310515365626,1.976668237366858,5.538800894062482,3.6447367613591
Thuringia,53.714,.2187118800132535,2.747045142388234,2.146233734815228,14.07345901720091,4.55309693684285
Kunigunde,43.227,.1776100166475844,3.129558718045166,2.573717742033571,2.369164787703175,5.5364688251515
Chlosinde,33.466,.1951088467576788,3.149659740866014,2.535133261146557,2.669315637807154,5.5898951414627
Kordula,79.852,.1704077714717364,3.375209845725414,2.800047857665883,6.235774916542296,6.20096630011433
Romilda,36.772,.1715871427142332,3.15671674958973,2.615064742169466,10.57347787338883,5.60869242283823
Begonia,70.572,.2131540870141044,3.115656366657189,2.451541478372695,12.10743492664386,5.49961807481877
Hidalgo,38.,.6609138242540036,5.741760590907027,1.946951640819736,42.52353082217338,13.7586499844115
Barcelona,25.618,.1633288404359026,2.63514488299341,2.204749724873494,32.89331346175796,4.27774556307655
Poesia,36.210,.1436883908633556,3.116479654907291,2.668677708135276,1.431427863550148,5.50179806652943
Monterosa,26.060,.2490570351935492,2.753920940763078,2.068037556099196,6.708060419038603,4.57020209333585
Hel,63.494,.1925684385981199,3.004683409516531,2.426076216864258,10.69878764156614,5.20842339273506
Caia,88.692,.2439508804186294,2.99793978164949,2.266589732474063,10.02623295795169,5.19089877400211
Painleva,24.062,.1906029373908916,2.785452224663493,2.254536848680637,8.666925552735286,4.64891679312221
Li,58.771,.1725630070078275,3.130796529405752,2.590536865961825,1.16949375917033,5.53975384816349
Camelia,91.548,.08178788266189656,2.919358754797037,2.680590583511716,14.79402297131963,4.98814884441541
Asplinda,45.117,.1858272405878262,3.984429224480179,3.244013736377535,5.62991343194641,7.95348337350172
Arne,45.176,.2206295143271175,3.176889163912308,2.475973650607253,4.497380727399148,5.66254018734117
Gunnie,36.571,.09068016703278239,2.693064113334367,2.448856609707215,10.99379579582835,4.41955193081558
Angelica,60.857,.2827099313179189,3.15368628541126,2.26210785226438,21.45987508237131,5.60061780153884
Muschi,25.509,.1318212889592821,2.718346616018575,2.360010661256904,14.41108053680466,4.48193394307586
Petunia,24.422,.1373657801292856,2.865163464494882,2.471588049996616,11.59914390490269,4.84989469684823
Alsatia,60.867,.1605351904049099,2.642410744587307,2.218210832577004,13.77446203603871,4.29545023811235
Cohnia,77.827,.2350262841413371,3.057742052414143,2.339092299972541,8.369952166438408,5.34699122437187
